sortable_name,id,838-Only Assignment: Modern Graphical Perception,838-Only Assignment: Original Sources (reading),838-Only Assignment: Vis Research,838-Only Assignment: Vis in Your Field,Design Challenge 1: Tasks & Critiques of the Standard Design,Discussion 7A: Re-Design,Discussion 7B: Exploring Contrast,Reading 10 & 11: Color,Reading 12: Encodings and Layout,Reading 14 & 15: Graphs and Networks,"Reading 16 & 17: Bi-Variate, Multi-Variate",Reading 18 & 19: Interaction,Reading 1: Getting Started,Reading 20: Too Much Stuff,Reading 21: Uncertainty,Reading 22A: 3D (not D3),Reading 22B: D3 (not 3D),Reading 23: Videos,Reading 2: Perspectives on Visualizations,Reading 3: Why Visualization?,Reading 4: Data and Task Abstraction,Reading 5: Think Differently!,Reading 6: Evaluation -- How do we know it's any good?,Reading 8: Perception 101,Seek and Find 10: Interaction,Seek and Find 11: Too Much Stuff,Seek and Find 12: Uncertainty,Seek and Find 13: 3D,Seek and Find 14: A Last Example,Seek and Find 2: Why Vis This?,Seek and Find 3: Non-Standard Designs,Seek and Find 4: Critique,Seek and Find 5: Perception at Work!,Seek and Find 6: Something Colorful,Seek and Find 7: Name that Encoding!,Seek and Find 8: Graphs,Seek and Find 9: Multi-Variate,Virtual Guest Lecture (Discussion 19)
"Litman, Lesli",4359376,"(40.0, -3, [(3359, 0)])","(30.0, 0, [(1823, 0), (149, 0)])","(35.0, -7, [(1480, 0)])","(40.0, -1, [(2063, 1), (347, 0)])","(0, -2, [(456, 0)])","(40.0, -1, [(754, 1), (331, 0)])","(40.0, -2, [(89, 1)])","(25.0, -1, [(1425, 0)])","(40.0, 0, [(1377, 0), (321, 0)])","(40.0, -4, [(1267, 0), (256, 0), (2167, 0)])","(40.0, -9, [(1606, 0), (362, 0)])","(40.0, -1, [(2512, 0), (246, 0)])","(40.0, -11, [(298, 0), (243, 0), (69, 0)])","(0, -1, [(1403, 0), (391, 0), (656, 0)])","(0, -2, [(874, 0)])","(30.0, -1, [(1306, 0), (344, 0)])","(0, -6, [(1727, 0), (225, 0)])","(27.0, 0, [(929, 0), (336, 0)])","(30.0, -7, [(683, 0), (437, 0)])","(40.0, -1, [(1206, 0), (418, 0)])","(40.0, -1, [(1206, 0), (325, 0)])","(30.0, -3, [(474, 0), (250, 0)])","(0, 0, [])","(40.0, -1, [(838, 0), (502, 0)])","(40.0, -1, [(716, 0)])","(40.0, -2, [(1029, 1)])","(40.0, -2, [(350, 1)])","(40.0, -4, [(503, 1), (163, 0)])","(40.0, 0, [(1600, 1), (377, 0)])","(40.0, -1, [(581, 1), (240, 0)])","(40.0, -2, [(959, 1), (226, 0)])","(40.0, -1, [(1236, 1), (105, 0)])","(35.0, -2, [(378, 1)])","(30.0, -1, [(495, 1)])","(38.0, -4, [(1225, 1)])","(40.0, -26, [(697, 1)])","(0.0, -1, [(350, 1)])","(35.0, 0, [(1152, 0)])"
"Macdonald, Marquerite",4378392,"(40.0, -1, [(3347, 0)])","(40.0, 0, [(3389, 0)])","(40.0, -102, [(1623, 0)])","(40.0, -10, [(3619, 1), (363, 0), (587, 0)])","(0, -10, [(1722, 0), (85, 0)])","(30.0, 0, [(421, 2)])","(40.0, 0, [(83, 2)])","(40.0, -1, [(2029, 0), (1516, 0), (232, 0), (187, 0)])","(35.0, -3, [(3251, 0)])","(40.0, -2, [(2655, 0), (3306, 0)])","(40.0, -1, [(2985, 0), (1528, 0)])","(40.0, -1, [(3643, 0)])","(0, 0, [])","(0, -8, [(2168, 0), (2636, 0), (81, 0), (84, 0)])","(0, -2, [(3054, 0), (203, 0)])","(30.0, -7, [(2141, 0)])","(0, -6, [(1674, 0), (168, 0)])","(37.0, -25, [(3041, 0)])","(40.0, -2, [(2003, 0), (649, 0)])","(30.0, -2, [(589, 0), (325, 0)])","(30.0, -3, [(1110, 0)])","(40.0, -7, [(1431, 0), (830, 0), (194, 0), (306, 0)])","(40.0, 0, [(2370, 0), (397, 0)])","(40.0, -2, [(1703, 0), (216, 0), (399, 0), (433, 0)])","(40.0, -1, [(798, 0), (140, 0), (104, 0)])","(40.0, -1, [(716, 1), (96, 0), (109, 0)])","(40.0, -3, [(402, 1)])","(40.0, -50, [(759, 1), (164, 0)])","(40.0, -31, [(1744, 1)])","(40.0, -15, [(969, 1), (124, 0), (538, 0), (227, 0)])","(50.0, -27, [(1569, 2), (156, 0), (287, 0)])","(40.0, -6, [(1537, 1)])","(40.0, -25, [(997, 1)])","(32.0, -4, [(1072, 1), (110, 0)])","(40.0, -8, [(1464, 1)])","(40.0, -1, [(960, 2)])","(0, 0, [])","(40.0, 0, [(1500, 0), (321, 0)])"
"Macmillan, Milissa",4359347,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -5, [(913, 0)])","(35.0, -33, [(865, 2)])","(20.0, -27, [(0, 4)])","(30.0, -11, [(1474, 0), (1109, 0)])","(40.0, -10, [(1939, 0), (830, 0), (694, 0)])","(40.0, -12, [(1405, 0), (979, 0)])","(35.0, -10, [(2006, 0)])","(40.0, -8, [(1370, 0)])","(40.0, -39, [(820, 0), (246, 0)])","(0, -13, [(1481, 0)])","(0, -60, [(1774, 0)])","(26.999999999999996, -15, [(2115, 0)])","(0, -12, [(2506, 0), (269, 0), (374, 0)])","(30.0, -13, [(1267, 0)])","(40.0, -33, [(2563, 0), (411, 0), (250, 0)])","(30.0, -11, [(1147, 0), (585, 0)])","(40.0, -12, [(1962, 0), (531, 0)])","(30.0, -12, [(2119, 0), (545, 0)])","(40.0, -11, [(2244, 0), (686, 0)])","(35.0, -1, [(2439, 0)])","(40.0, -11, [(672, 0), (37, 0)])","(40.0, -15, [(626, 1)])","(40.0, -13, [(1242, 1), (549, 0)])","(50.0, -13, [(524, 1), (959, 0), (130, 0), (290, 0), (278, 0)])","(40.0, -27, [(831, 1)])","(40.0, -68, [(1031, 1)])","(40.0, -12, [(590, 1), (576, 0)])","(40.0, -34, [(1320, 1)])","(40.0, -5, [(228, 1)])","(30.0, -11, [(652, 1)])","(37.0, -9, [(1669, 1)])","(40.0, -13, [(854, 1)])","(0, 0, [])","(30.0, 14, [(1402, 0), (930, 0)])"
"Maddox, Manda",4359359,"(40.0, -103, [(2524, 0)])","(40.0, -1, [(3603, 0), (452, 0), (132, 0), (186, 0)])","(40.0, -7, [(2462, 0)])","(40.0, -31, [(2227, 3), (342, 0), (153, 0)])","(0, -74, [(1069, 0), (33, 0), (196, 0), (252, 0), (698, 0), (265, 0), (218, 0), (302, 0), (132, 0), (433, 0)])","(50.0, -22, [(2201, 1), (10, 0), (108, 0), (248, 0), (124, 0)])","(40.0, -15, [(302, 2), (76, 0), (10, 0)])","(40.0, -33, [(3060, 1), (740, 0), (179, 0)])","(50.0, 0, [(1708, 0), (177, 1), (32, 0), (241, 0), (118, 0)])","(50.0, -52, [(1506, 2), (412, 0), (405, 0), (581, 0), (765, 0)])","(45.0, -9, [(1441, 0), (1125, 4), (203, 0), (464, 0), (379, 0)])","(40.0, -103, [(1490, 1)])","(30.0, -18, [(545, 0), (104, 0)])","(0, -12, [(825, 0), (19, 0), (134, 0), (1580, 0), (232, 0)])","(0, 0, [(941, 0), (516, 0)])","(24.000000000000004, -32, [(1003, 0), (181, 0), (85, 0)])","(0, -13, [(1124, 0), (261, 0), (214, 0)])","(32.0, -77, [(817, 0), (207, 0)])","(40.0, -35, [(853, 0), (345, 0), (657, 0), (274, 0), (368, 0)])","(40.0, -5, [(2066, 0), (79, 0), (216, 0), (387, 0), (887, 0), (411, 0), (440, 0), (642, 0)])","(40.0, -5, [(1063, 0), (278, 0), (382, 0), (239, 0)])","(50.0, -9, [(902, 0), (227, 0), (19, 0), (386, 0), (2047, 0)])","(50.0, -30, [(3277, 0), (168, 0), (646, 0), (736, 0), (902, 0), (18, 0)])","(40.0, -28, [(1389, 0), (722, 0), (116, 0), (96, 0), (308, 0), (532, 0)])","(40.0, -152, [(980, 1)])","(40.0, -25, [(278, 0), (728, 1), (122, 0)])","(40.0, 0, [(381, 1)])","(40.0, -80, [(548, 1), (128, 0)])","(40.0, -23, [(1430, 1)])","(50.0, -117, [(940, 1), (223, 0), (172, 0), (216, 0), (129, 0), (80, 0), (102, 0), (116, 0), (462, 0), (193, 0), (357, 0)])","(40.0, -1, [(897, 1), (92, 0), (135, 0), (236, 0), (130, 0), (76, 0)])","(40.0, -24, [(766, 1), (4, 0), (10, 0)])","(40.0, -75, [(534, 1)])","(40.0, -79, [(929, 1), (25, 0), (45, 0)])","(50.0, -38, [(2601, 1), (97, 0), (74, 0)])","(40.0, -100, [(906, 1)])","(0, 0, [])","(40.0, -8, [(678, 0), (193, 0), (136, 0)])"
"Mahi, Mika",4359320,"(38.0, -21, [(1596, 0)])","(30.0, -16, [(1156, 0)])","(38.0, -8, [(1143, 0)])","(31.0, -9, [(1443, 1)])","(0, -1, [(1099, 0), (227, 0)])","(35.0, -2, [(321, 2), (81, 0)])","(40.0, -6, [(3, 5)])","(40.0, -2, [(876, 0), (970, 0), (53, 0)])","(30.0, -1, [(610, 0)])","(40.0, -1, [(1518, 1), (1175, 0)])","(40.0, -1, [(947, 0), (370, 0)])","(40.0, -2, [(1409, 0)])","(30.0, -15, [(458, 0), (100, 0)])","(0, -11, [(401, 0)])","(0, -26, [(984, 0)])","(21.0, -31, [(851, 0)])","(0, -22, [(715, 0)])","(30.0, -7, [(1013, 0)])","(30.0, -2, [(1172, 0)])","(20.0, -2, [(1104, 0)])","(40.0, -2, [(774, 0), (47, 0)])","(40.0, -8, [(849, 0), (115, 0), (1216, 1)])","(40.0, -3, [(1757, 0), (58, 0)])","(40.0, -10, [(1632, 0), (76, 0)])","(40.0, -7, [(555, 0)])","(40.0, -60, [(515, 1)])","(40.0, -52, [(472, 2)])","(40.0, -79, [(459, 1)])","(40.0, -22, [(587, 1)])","(40.0, -36, [(842, 1)])","(40.0, -5, [(596, 1)])","(40.0, -1, [(1745, 1)])","(40.0, -4, [(1079, 1), (427, 1)])","(30.0, -2, [(592, 1)])","(37.0, -2, [(760, 1)])","(40.0, -34, [(438, 1)])","(0.0, -2, [(141, 1)])","(0, 0, [])"
"Maugeri, Madie",4359362,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -13, [(2533, 0)])","(40.0, 0, [(1532, 2), (251, 0)])","(40.0, 0, [(0, 1)])","(50.0, -9, [(6124, 0), (771, 0), (3911, 0)])","(37.0, -3, [(5203, 0)])","(50.0, -11, [(5989, 1), (393, 0), (4480, 0), (125, 0)])","(50.0, -10, [(5631, 0), (4030, 0)])","(50.0, -10, [(4333, 2), (2946, 0), (294, 0)])","(40.0, -15, [(973, 0), (372, 0)])","(0, -11, [(5035, 0), (777, 0)])","(0, -3, [(5082, 0), (546, 0)])","(41.0, -5, [(5213, 0)])","(0, -13, [(3912, 0)])","(31.0, 19, [(2613, 0), (458, 0)])","(50.0, -4, [(4776, 0), (969, 0), (1022, 0), (224, 0)])","(40.0, -6, [(5444, 0), (255, 0), (25, 0)])","(40.0, -10, [(2994, 0), (172, 0)])","(40.0, -13, [(2859, 0), (1817, 0)])","(50.0, -2, [(4853, 1), (126, 0)])","(50.0, -11, [(6685, 0), (650, 0)])","(40.0, 0, [(1637, 1)])","(40.0, -12, [(1681, 1)])","(40.0, -1, [(1200, 1)])","(40.0, -7, [(1142, 1)])","(30.0, 20, [(1612, 1)])","(40.0, -12, [(974, 1)])","(40.0, -12, [(913, 1)])","(40.0, 0, [(1419, 1)])","(40.0, -13, [(554, 1)])","(30.0, 0, [(830, 1)])","(45.0, 0, [(1884, 1)])","(50.0, -3, [(491, 1)])","(0, 0, [])","(50.0, -2, [(5519, 0), (762, 0)])"
"Milling, Melodie",4359368,"(40.0, -118, [(3645, 0)])","(40.0, -24, [(4151, 1)])","(40.0, -1, [(10175, 0)])","(35.0, -130, [(3508, 1)])","(0, -49, [(2046, 0)])","(40.0, -10, [(1523, 2), (593, 0)])","(40.0, -6, [(91, 1)])","(50.0, -3, [(2146, 2), (517, 0), (2486, 0), (418, 0)])","(50.0, -56, [(3959, 0), (313, 0)])","(50.0, -73, [(2490, 0), (4277, 0), (619, 0)])","(50.0, -9, [(2387, 0), (331, 0), (471, 0), (330, 0), (411, 0), (1164, 0)])","(50.0, -5, [(3717, 0), (832, 1), (457, 0)])","(40.0, -43, [(1694, 0), (228, 0), (732, 0)])","(0, -1, [(1394, 1), (1120, 0)])","(0, -10, [(3267, 0), (547, 0)])","(0, 0, [])","(0, -126, [(2450, 0), (402, 0), (145, 0)])","(40.0, -63, [(2699, 0), (450, 0)])","(40.0, -2, [(3070, 0), (544, 0)])","(40.0, -1, [(3611, 0), (669, 0)])","(40.0, -5, [(1222, 0), (344, 0), (539, 0)])","(50.0, -14, [(1593, 0), (2294, 1), (769, 1)])","(50.0, 0, [(4133, 0), (634, 0)])","(40.0, -3, [(2201, 0), (829, 0)])","(40.0, -53, [(167, 0), (1084, 1)])","(40.0, -6, [(687, 1), (570, 0)])","(40.0, -49, [(835, 1), (293, 0)])","(40.0, -77, [(769, 1)])","(40.0, -52, [(1506, 1), (432, 0), (487, 0)])","(40.0, -36, [(900, 1), (141, 0), (627, 0)])","(40.0, -9, [(713, 1)])","(45.0, -24, [(2656, 1)])","(40.0, -48, [(709, 1)])","(30.0, -49, [(632, 2)])","(40.0, -72, [(1145, 1)])","(40.0, -117, [(781, 1)])","(0.0, -48, [(155, 1)])","(40.0, -29, [(2136, 0), (965, 0)])"
"Morocco, Marybeth",4359371,"(40.0, -7, [(3506, 1)])","(40.0, -6, [(3295, 0)])","(38.0, -8, [(1631, 0), (349, 0)])","(40.0, -2, [(2780, 1)])","(0, -11, [(2577, 0), (421, 0)])","(40.0, -8, [(2295, 2), (238, 0), (160, 0)])","(40.0, -8, [(151, 0), (541, 1), (221, 0), (54, 0)])","(30.0, -7, [(2535, 0), (380, 0)])","(40.0, -3, [(2196, 0), (281, 0)])","(50.0, -2, [(971, 0), (1219, 0), (895, 0), (759, 0)])","(40.0, -3, [(1115, 0), (766, 0), (1026, 0), (667, 0)])","(40.0, -3, [(1910, 0)])","(40.0, -18, [(1044, 0), (602, 0)])","(0, -5, [(1246, 0), (245, 0), (2462, 0)])","(0, -3, [(1665, 0)])","(22.0, -2, [(824, 0), (452, 0)])","(0, -3, [(2093, 0), (427, 0)])","(30.0, -4, [(2032, 0)])","(40.0, -7, [(1667, 0), (540, 0)])","(40.0, -12, [(2172, 0), (320, 0), (531, 0), (1994, 0)])","(30.0, 7, [(2889, 1), (451, 0)])","(50.0, -9, [(2269, 2), (2738, 0), (668, 0)])","(50.0, -6, [(2871, 0), (757, 0)])","(40.0, -7, [(1363, 0), (1729, 0), (498, 0), (220, 0)])","(40.0, -3, [(1051, 1)])","(40.0, -4, [(1083, 1), (732, 0)])","(40.0, -2, [(1404, 1)])","(40.0, -5, [(935, 1), (397, 0), (159, 0)])","(0, -3, [(1391, 1)])","(40.0, -18, [(817, 1), (376, 0), (230, 0)])","(50.0, -29, [(1599, 1), (667, 0)])","(40.0, -14, [(2156, 1), (207, 0)])","(40.0, -6, [(916, 1)])","(40.0, -7, [(2409, 2)])","(40.0, -7, [(2699, 1)])","(40.0, -14, [(1481, 3)])","(0, 0, [])","(40.0, -2, [(1787, 0), (381, 0)])"
"Myers, Monica",4359318,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [(1174, 0)])","(40.0, 0, [(1102, 2), (382, 0)])","(40.0, 0, [(99, 2)])","(38.0, 0, [(3695, 0), (2888, 0)])","(38.0, 0, [(4737, 0)])","(50.0, 0, [(1398, 0), (1066, 0), (3432, 0)])","(35.0, 0, [(2390, 0)])","(50.0, -6, [(2906, 0), (2460, 0)])","(40.0, -11, [(805, 0), (383, 0), (374, 0)])","(0, 0, [(1347, 0)])","(0, 0, [(1856, 0)])","(39.0, -1, [(3454, 0), (338, 0)])","(0, -3, [(741, 0), (531, 0)])","(28.0, -2, [(998, 0)])","(50.0, -1, [(3526, 0), (505, 0), (644, 0), (432, 0)])","(50.0, -1, [(4775, 0), (443, 0), (570, 0)])","(40.0, -1, [(1113, 0), (420, 0), (318, 0)])","(40.0, -3, [(1896, 0), (1761, 0)])","(50.0, -6, [(4612, 0), (540, 0)])","(35.0, 0, [(2281, 0), (92, 0)])","(40.0, -9, [(850, 0)])","(50.0, -48, [(1871, 1)])","(40.0, 0, [(786, 1), (376, 1)])","(40.0, -3, [(1446, 1)])","(40.0, 0, [(1067, 1)])","(40.0, -1, [(933, 1), (514, 0), (378, 0), (354, 0)])","(40.0, -1, [(927, 1)])","(45.0, -2, [(2867, 1), (282, 0)])","(40.0, -1, [(898, 1)])","(31.0, -2, [(1498, 1)])","(40.0, 0, [(945, 1)])","(40.0, -2, [(1059, 1)])","(0.0, 0, [(482, 1)])","(35.0, -13, [(2048, 0)])"
"Newby, Nila",4359329,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -13, [(3588, 0), (1952, 0)])","(40.0, -2, [(66, 2), (33, 0), (355, 0)])","(40.0, -1, [(0, 2)])","(50.0, -1, [(3930, 0), (1007, 0), (245, 0), (400, 0), (294, 0)])","(35.0, -2, [(1776, 0)])","(50.0, -4, [(1676, 1), (2155, 0), (256, 0)])","(35.0, -2, [(1700, 0)])","(40.0, -4, [(3034, 1)])","(30.0, -3, [(630, 0)])","(0, -2, [(1580, 1)])","(0, -1, [(1667, 0), (492, 0)])","(22.0, -2, [(944, 0)])","(0, -7, [(1584, 0), (313, 0)])","(30.0, -1, [(1525, 0), (278, 0)])","(40.0, -3, [(2116, 0), (664, 1)])","(20.0, -3, [(1482, 0)])","(30.0, -3, [(1209, 0)])","(40.0, -2, [(1098, 0), (1210, 0)])","(40.0, -3, [(1966, 0), (438, 0)])","(35.0, -6, [(405, 0), (1247, 0)])","(43.0, -52, [(497, 1), (772, 0)])","(40.0, -2, [(151, 0), (1940, 2)])","(30.0, 0, [(225, 1)])","(40.0, -28, [(427, 0), (250, 0), (613, 1)])","(40.0, 0, [(986, 1), (238, 0), (217, 0)])","(40.0, 7, [(776, 1)])","(50.0, -2, [(1187, 1), (165, 0), (553, 0)])","(45.0, -4, [(2133, 2)])","(40.0, -27, [(415, 1), (143, 0), (175, 0), (179, 0)])","(30.0, -11, [(483, 1), (199, 0), (313, 0)])","(43.0, -25, [(1010, 1), (80, 0), (222, 0), (194, 0), (179, 0)])","(40.0, -4, [(98, 0), (38, 0), (85, 0), (547, 1)])","(0, 0, [])","(40.0, -6, [(1965, 0), (123, 0)])"
"Rain, Regine",4359319,"(40.0, -94, [(3016, 0), (687, 0)])","(40.0, -25, [(2814, 0)])","(40.0, -7, [(2453, 0)])","(40.0, -77, [(2151, 1), (371, 0)])","(0, -75, [(2388, 0)])","(35.0, -2, [(1566, 1)])","(40.0, -1, [(0, 2)])","(40.0, -3, [(1631, 0), (1691, 0), (750, 0), (760, 0), (660, 0)])","(40.0, -5, [(2760, 0), (607, 0)])","(50.0, -72, [(1318, 0), (2502, 0)])","(40.0, 0, [(2443, 0), (306, 0), (500, 0), (161, 0)])","(40.0, -1, [(1391, 0), (557, 0)])","(30.0, -15, [(626, 0)])","(0, -6, [(1676, 0), (2273, 0)])","(0, -2, [(2491, 0)])","(30.0, -25, [(1890, 0), (254, 0)])","(0, -11, [(1416, 0), (63, 0), (478, 0)])","(30.0, -5, [(1898, 0)])","(40.0, -3, [(1448, 0), (796, 0)])","(40.0, -12, [(1601, 0), (727, 0)])","(40.0, -2, [(1791, 0), (771, 0)])","(30.0, -6, [(1687, 0), (908, 0)])","(30.0, -3, [(1935, 0)])","(35.0, -35, [(714, 0), (665, 0)])","(30.0, 307, [(1002, 0)])","(40.0, -3, [(1324, 1)])","(40.0, -1, [(1020, 1)])","(40.0, -11, [(750, 2)])","(40.0, -3, [(1604, 2)])","(50.0, -14, [(1975, 1), (477, 0), (800, 0), (230, 0)])","(40.0, -4, [(1830, 1)])","(45.0, -6, [(2372, 1)])","(40.0, -82, [(970, 1), (235, 0), (581, 0)])","(35.0, -10, [(1811, 1)])","(43.0, -49, [(1991, 1), (40, 0)])","(40.0, -3, [(1740, 1)])","(0, 0, [])","(40.0, -3, [(1911, 0), (325, 0)])"
"Reams, Roslyn",4359326,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -10, [(2740, 0)])","(0, 0, [])","(0, 0, [])","(35.0, -4, [(1497, 0), (1128, 0)])","(30.0, -28, [(1364, 0)])","(30.0, -52, [(1265, 0)])","(40.0, -54, [(1285, 0), (1398, 0)])","(40.0, -57, [(2062, 0)])","(0, 0, [])","(0, -6, [(1951, 0)])","(0, -26, [(1418, 0)])","(25.0, -12, [(1496, 0)])","(0, -4, [(1882, 0)])","(0, 0, [])","(30.0, -30, [(1214, 0)])","(20.0, -30, [(1538, 0)])","(30.0, -6, [(1923, 0)])","(40.0, -6, [(1169, 0), (1384, 0)])","(0, 0, [])","(40.0, -3, [(1684, 0), (323, 0)])","(40.0, -78, [(1025, 0)])","(40.0, -54, [(1008, 1)])","(40.0, -15, [(1124, 1)])","(40.0, -14, [(2029, 2), (159, 0)])","(40.0, -7, [(1171, 1)])","(40.0, -65, [(970, 1)])","(0, 0, [])","(0, 0, [])","(40.0, -11, [(692, 1)])","(30.0, -3, [(644, 1)])","(40.0, -4, [(1543, 1)])","(0, 0, [])","(0, 0, [])","(35.0, -37, [(1614, 0)])"
"Riffel, Reiko",4363498,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(40.0, -11, [(917, 0), (625, 0)])","(0, 0, [])","(0.0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(50.0, -11, [(2520, 0), (1139, 0)])","(40.0, -3, [(2641, 0), (496, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(40.0, -22, [(1251, 1), (251, 0), (283, 0), (301, 0)])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])"
"Robeson, Rikki",4359373,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -2, [(1813, 0)])","(40.0, -4, [(656, 1), (335, 0)])","(40.0, -3, [(99, 1)])","(35.0, -5, [(1907, 0), (1793, 0)])","(40.0, -7, [(1659, 0), (686, 0)])","(40.0, -13, [(1945, 1), (1204, 0)])","(35.0, -6, [(1735, 0)])","(50.0, -4, [(1865, 0), (409, 0), (935, 0)])","(40.0, 0, [])","(0, -5, [(2974, 0), (398, 0), (754, 0)])","(0, -6, [(1731, 0)])","(30.0, -26, [(953, 1), (111, 0), (635, 0)])","(0, -1, [(1933, 0), (388, 0)])","(35.0, -28, [(1680, 0), (879, 0)])","(40.0, -5, [(2866, 0), (355, 0)])","(40.0, -53, [(2654, 0), (422, 0)])","(40.0, -6, [(1643, 0), (229, 0)])","(40.0, -8, [(2884, 0), (366, 0)])","(40.0, 0, [(2801, 0), (540, 0), (135, 0)])","(40.0, -3, [(2424, 0), (708, 0), (670, 0)])","(40.0, -51, [(2023, 0)])","(45.0, -52, [(2114, 1), (122, 0), (541, 0)])","(40.0, -5, [(1395, 1)])","(40.0, -4, [(203, 0), (1061, 1)])","(40.0, -51, [(2283, 1), (305, 0), (137, 0)])","(40.0, -40, [(899, 1), (261, 0)])","(40.0, -3, [(1239, 1)])","(40.0, -5, [(1283, 1)])","(40.0, -26, [(0, 0), (564, 1)])","(30.0, -10, [(1074, 1)])","(45.0, -1, [(1842, 1), (223, 0), (469, 0)])","(40.0, -5, [(203, 0), (700, 1)])","(0, 0, [])","(35.0, -4, [(2729, 0)])"
"Ryles, Rosa",4359377,"(40.0, -79, [(4290, 0)])","(40.0, -54, [(5233, 0), (1855, 0)])","(40.0, -9, [(3417, 0)])","(30.0, -7, [(2587, 1), (261, 0)])","(0, -32, [(3885, 0), (361, 0)])","(40.0, -27, [(716, 1), (586, 0), (419, 0)])","(40.0, -15, [(247, 3)])","(40.0, -1, [(1620, 0), (1647, 0), (616, 0)])","(40.0, -3, [(2868, 0), (1017, 0)])","(50.0, -5, [(2839, 0), (314, 0), (3420, 0)])","(40.0, -5, [(2458, 0), (233, 0), (492, 0)])","(40.0, -5, [(2277, 0), (670, 0)])","(40.0, -42, [(1232, 0), (572, 0)])","(0, -9, [(2469, 0), (1365, 0), (614, 0)])","(0, -11, [(4314, 0), (908, 0), (844, 0)])","(40.0, -7, [(4108, 0), (1104, 0)])","(0, -3, [(1871, 0)])","(40.0, -22, [(1348, 0), (1287, 0)])","(40.0, -1, [(1548, 0), (434, 0)])","(50.0, -6, [(3161, 0), (657, 0), (1218, 0), (461, 0)])","(40.0, -3, [(2888, 0), (181, 0), (715, 0), (850, 0)])","(50.0, -32, [(1148, 0), (1626, 0), (1102, 0), (1043, 0)])","(50.0, -1, [(4045, 0), (558, 0)])","(40.0, -5, [(2333, 0), (1058, 0), (590, 0)])","(45.0, -38, [(1638, 0)])","(40.0, -55, [(1347, 2)])","(40.0, -8, [(881, 1)])","(40.0, -53, [(761, 1)])","(40.0, -21, [(2046, 1)])","(40.0, 7, [(1646, 1)])","(50.0, -9, [(1765, 2)])","(43.0, -29, [(2110, 1)])","(40.0, -37, [(615, 1)])","(35.0, -17, [(1622, 1)])","(40.0, -38, [(1379, 1)])","(40.0, -1, [(852, 1)])","(0, 0, [])","(40.0, 0, [(3287, 0), (448, 0)])"
"Scutt, Sydney",4359317,"(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, 0, [])","(0, -10, [(3103, 0), (222, 0)])","(40.0, 0, [(1176, 2), (436, 0), (62, 0), (100, 0), (471, 0)])","(40.0, -8, [(1, 2), (120, 0)])","(40.0, 0, [(1871, 0), (1854, 0), (802, 0), (435, 0)])","(40.0, 0, [(1530, 0), (264, 0), (227, 0)])","(50.0, 0, [(1901, 1), (145, 0), (815, 0)])","(50.0, -1, [(2477, 0), (292, 0), (112, 0), (1833, 2), (49, 0)])","(40.0, -1, [(2554, 1)])","(40.0, -1, [(1986, 0), (324, 0)])","(0, -10, [(1882, 0), (201, 0), (514, 0)])","(0, -2, [(2054, 0)])","(32.0, -1, [(2640, 0), (265, 0)])","(0, 10, [(2710, 0)])","(30.0, -25, [(2214, 0), (215, 0)])","(40.0, -2, [(1988, 0), (744, 0), (622, 0)])","(20.0, 13, [(2061, 0), (311, 0)])","(40.0, -2, [(2968, 0), (147, 0)])","(50.0, -10, [(2272, 0), (1655, 1), (392, 0)])","(40.0, 0, [(1867, 0), (361, 0)])","(40.0, -1, [(1589, 0), (915, 0), (44, 0), (673, 0)])","(40.0, -7, [(114, 0), (693, 1)])","(40.0, -55, [(810, 1)])","(35.0, -3, [(1104, 1)])","(40.0, -49, [(1295, 1)])","(50.0, -26, [(3857, 1), (624, 0)])","(40.0, -17, [(1247, 1), (88, 0)])","(40.0, -9, [(1470, 1), (422, 0), (387, 0)])","(40.0, -8, [(1567, 2)])","(50.0, -11, [(1343, 1), (227, 0)])","(33.0, -9, [(1431, 2), (50, 0)])","(40.0, -9, [(2209, 2)])","(40.0, -7, [(859, 1), (122, 0), (82, 0), (103, 0)])","(0.0, -8, [(180, 1)])","(40.0, -5, [(2542, 0), (562, 0), (697, 0)])"
